transaction_id,sale_date,store_id,product_id,quantity,unit_price,revenue
TXN-000001,2026-04-22,ST-001,PR-0033,4,107.28,429.12
TXN-000002,2026-04-22,ST-001,PR-0059,2,729.18,1458.36
TXN-000003,2026-04-22,ST-001,PR-0005,3,378.18,1134.54
TXN-000004,2026-04-22,ST-001,PR-0042,7,82.11,574.77
TXN-000005,2026-04-22,ST-001,PR-0039,3,292.09,876.27
TXN-000006,2026-04-22,ST-001,PR-0058,2,3456.73,6913.46
TXN-000007,2026-04-22,ST-001,PR-0041,3,854.62,2563.86
TXN-000008,2026-04-22,ST-001,PR-0028,4,1652.5,6610.0
TXN-000009,2026-04-22,ST-001,PR-0007,2,76.15,152.3
TXN-000010,2026-04-22,ST-001,PR-0009,2,199.08,398.16
TXN-000011,2026-04-22,ST-001,PR-0008,5,24.56,122.8
TXN-000012,2026-04-22,ST-001,PR-0012,4,42.48,169.92
TXN-000013,2026-04-22,ST-001,PR-0034,3,2386.32,7158.96
TXN-000014,2026-04-22,ST-001,PR-0033,5,107.28,536.4
TXN-000015,2026-04-22,ST-001,PR-0048,2,39.4,78.8
TXN-000016,2026-04-22,ST-001,PR-0055,2,38.32,76.64
TXN-000017,2026-04-22,ST-001,PR-0023,4,874.22,3496.88
TXN-000018,2026-04-22,ST-001,PR-0024,4,75.63,302.52
TXN-000019,2026-04-22,ST-001,PR-0037,1,91.07,91.07
TXN-000020,2026-04-22,ST-001,PR-0035,2,383.78,767.56
TXN-000021,2026-04-22,ST-001,PR-0044,3,56.09,168.27
TXN-000022,2026-04-22,ST-001,PR-0040,4,2757.94,11031.76
TXN-000023,2026-04-22,ST-001,PR-0022,4,3331.32,13325.28
TXN-000024,2026-04-22,ST-001,PR-0027,3,217.9,653.7
TXN-000025,2026-04-22,ST-001,PR-0035,1,383.78,383.78
TXN-000026,2026-04-22,ST-001,PR-0001,3,128.22,384.66
TXN-000027,2026-04-22,ST-001,PR-0035,3,383.78,1151.34
TXN-000028,2026-04-22,ST-002,PR-0044,11,56.09,616.99
TXN-000029,2026-04-22,ST-002,PR-0026,1,14.88,14.88
TXN-000030,2026-04-22,ST-002,PR-0032,3,55.47,166.41
TXN-000031,2026-04-22,ST-002,PR-0006,2,54.36,108.72
TXN-000032,2026-04-22,ST-002,PR-0032,7,55.47,388.29
TXN-000033,2026-04-22,ST-002,PR-0055,2,38.32,76.64
TXN-000034,2026-04-22,ST-002,PR-0004,2,805.23,1610.46
TXN-000035,2026-04-22,ST-002,PR-0055,5,38.32,191.6
TXN-000036,2026-04-22,ST-002,PR-0011,1,369.11,369.11
TXN-000037,2026-04-22,ST-002,PR-0056,1,50.11,50.11
TXN-000038,2026-04-22,ST-002,PR-0059,3,729.18,2187.54
TXN-000039,2026-04-22,ST-002,PR-0017,4,594.31,2377.24
TXN-000040,2026-04-22,ST-002,PR-0038,5,19.24,96.2
TXN-000041,2026-04-22,ST-002,PR-0024,4,75.63,302.52
TXN-000042,2026-04-22,ST-002,PR-0005,4,378.18,1512.72
TXN-000043,2026-04-22,ST-002,PR-0052,2,1377.29,2754.58
TXN-000044,2026-04-22,ST-002,PR-0034,3,2386.32,7158.96
TXN-000045,2026-04-22,ST-002,PR-0006,4,54.36,217.44
TXN-000046,2026-04-22,ST-002,PR-0022,2,3331.32,6662.64
TXN-000047,2026-04-22,ST-002,PR-0011,9,369.11,3321.99
TXN-000048,2026-04-22,ST-002,PR-0048,4,39.4,157.6
TXN-000049,2026-04-22,ST-002,PR-0016,2,1896.97,3793.94
